Id_aynm,Id_ayno,Id_medida,Localizacion
1,1,51,A
2,2,51,A
3,3,51,A
4,4,51,A
5,5,51,A
6,6,25,A
7,7,51,A
8,8,51,A
9,9,51,A
10,10,51,A
11,11,51,A
12,12,35,A
13,13,52,A
14,14,52,A
15,15,52,A
16,16,52,A
17,17,52,A
18,18,52,A
19,19,52,A
20,20,52,A
21,21,52,A
22,22,114,A
23,23,114,A
24,24,114,A
25,25,114,A
26,26,51,A
27,27,51,A
28,28,51,A
29,29,72,A
30,30,72,A
31,31,72,A
32,32,72,A
33,33,72,A
34,34,72,A
35,35,72,A
36,36,72,A
37,37,72,A
38,38,72,A
39,39,72,A
40,40,114,A
41,41,114,A
42,42,114,A
43,43,114,A
44,44,54,A
45,45,54,A
46,46,54,A
47,47,70,A
48,48,70,A
49,49,70,A
50,50,70,A
51,51,70,A
52,52,70,A
53,53,70,A
54,54,141,A
55,55,141,A
56,56,141,A
57,57,141,A
58,58,141,A
59,59,110,A
60,60,110,A
61,61,110,A
62,62,110,A
63,63,110,A
64,64,110,A
65,65,110,A
66,66,110,A
67,67,110,A
68,68,110,A
69,69,114,A
70,70,114,A
71,71,114,A
72,72,114,A
73,73,114,A
74,74,67,A
75,75,67,A
76,76,67,A
77,77,67,A
78,78,114,A
79,79,114,A
80,80,114,A
81,81,114,A
82,82,114,A
83,83,114,A
84,84,114,A
85,85,114,A
86,86,114,A
87,87,114,A
88,88,114,A
89,89,114,A
90,90,114,A
91,91,114,A
92,92,67,A
93,93,67,A
94,94,67,A
95,95,67,A
96,96,67,A
97,97,114,A
98,98,114,A
99,99,102,A
100,100,41,A
101,101,41,A
102,102,41,A
103,103,41,A
104,104,41,A
105,105,10,A
106,106,10,A
107,107,10,A
108,108,10,A
109,109,6,A
110,110,70,A
111,111,70,A
112,112,70,A
113,113,70,A
114,114,70,A
115,115,54,A
116,116,83,A
117,117,83,A
118,118,83,A
119,119,83,A
120,120,83,A
121,121,83,A
122,122,83,A
123,123,83,A
124,124,83,A
125,125,83,A
126,126,110,A
127,127,110,A
128,128,110,A
129,129,72,A
130,130,72,A
131,131,72,A
132,132,72,A
133,133,72,A
134,134,72,A
135,135,70,A
136,136,70,A
137,137,70,A
138,138,70,A
139,139,70,A
140,140,70,A
141,141,70,A
142,142,72,A
143,143,72,A
144,144,70,A
145,145,72,A
146,146,72,A
147,147,72,A
148,148,70,A
149,149,89,A
150,150,89,A
151,151,89,A
152,152,89,A
153,153,89,A
154,154,89,A
155,155,89,A
156,156,72,A
157,157,72,A
158,158,72,A
159,159,72,A
160,160,72,A
161,161,72,A
162,162,117,A
163,163,117,A
164,164,117,A
165,165,117,A
166,166,117,A
167,167,117,A
168,168,117,A
169,169,117,A
170,170,117,A
171,171,117,A
172,172,117,A
173,173,165,A
174,174,165,A
175,175,165,A
176,176,186,A
177,177,140,A
178,178,186,A
179,179,186,A
180,180,186,A
181,181,186,A
182,182,186,A
183,183,186,A
184,184,186,A
185,185,72,A
186,186,72,A
187,187,72,A
188,188,72,A
189,189,72,A
190,190,89,A
191,191,89,A
192,192,89,A
193,193,89,A
194,194,89,A
195,195,89,A
196,196,117,A
197,197,117,A
198,198,117,A
199,199,72,A
200,200,72,A
201,201,114,A
202,202,114,A
203,203,114,A
204,204,114,A
205,205,114,A
206,206,114,A
207,207,114,A
208,208,114,A
209,209,109,A
210,210,109,A
211,211,109,A
212,212,109,A
213,213,109,A
214,214,109,A
215,215,109,A
216,216,109,A
217,217,109,A
218,218,192,A
219,219,192,A
220,220,192,A
221,221,123,A
222,222,123,A
223,223,123,A
224,224,123,A
225,225,123,A
226,226,123,A
227,227,118,A
228,228,188,A
229,229,188,A
230,230,188,A
231,231,188,A
232,232,188,A
233,233,188,A
234,234,188,A
235,235,188,A
236,236,188,A
237,237,188,A
238,238,188,A
239,239,188,A
240,240,188,A
241,241,188,A
242,242,118,A
243,243,118,A
244,244,118,A
245,245,118,A
246,246,118,A
247,247,118,A
248,248,118,A
249,249,118,A
250,250,118,A
251,251,118,A
252,252,118,A
253,253,118,A
254,254,118,A
255,255,118,A
256,256,118,A
257,257,118,A
258,258,87,A
259,259,87,A
260,260,87,A
261,261,147,A
262,262,147,A
263,263,147,A
264,264,96,A
265,265,96,A
266,266,96,A
267,267,96,A
268,268,96,A
269,269,145,A
270,270,145,A
271,271,145,A
272,272,145,A
273,273,145,A
274,274,145,A
275,275,145,A
276,276,145,A
277,277,145,A
278,278,145,A
279,279,145,A
280,280,153,A
281,281,153,A
282,282,153,A
283,283,153,A
284,284,153,A
285,285,153,A
286,286,153,A
287,287,153,A
288,288,153,A
289,289,153,A
290,290,153,A
291,291,197,A
292,292,197,A
293,293,197,A
294,294,134,D
295,294,268,T
296,295,134,D
297,295,268,T
298,296,134,D
299,296,268,T
300,297,134,D
301,297,268,T
302,298,134,D
303,298,268,T
304,299,134,D
305,299,268,T
306,300,134,D
307,300,268,T
308,301,134,D
309,301,268,T
310,302,134,D
311,302,268,T
312,303,134,D
313,303,268,T
314,304,162,D
315,304,271,T
316,305,162,D
317,305,271,T
318,306,162,D
319,306,271,T
320,307,110,A
321,308,110,A
322,309,110,A
323,310,110,A
324,311,110,A
325,312,110,A
326,313,110,A
327,314,110,A
328,315,110,A
329,316,169,A
330,317,70,A
331,318,169,A
332,319,169,A
333,320,169,A
334,321,169,A
335,322,169,A
336,323,169,A
337,324,165,A
338,325,165,A
339,326,165,A
340,327,165,A
341,328,11,A
342,329,67,A
343,330,67,A
344,331,87,A
345,332,87,A
346,333,94,A
347,334,94,A
348,335,70,A
349,336,70,A
350,337,70,A
351,338,70,A
352,339,70,A
353,340,70,A
354,341,70,A
355,342,70,A
356,343,70,A
357,344,70,A
358,345,68,A
359,346,49,A
360,347,49,A
361,348,49,A
362,349,49,A
363,350,70,A
364,351,70,A
365,352,70,A
366,353,70,A
367,354,70,A
368,355,122,A
369,356,122,A
370,357,122,A
371,358,113,A
372,359,113,A
373,360,110,D
374,360,164,T
375,361,110,D
376,361,164,T
377,362,110,D
378,362,164,T
379,363,110,D
380,363,164,T
381,364,110,D
382,364,164,T
383,365,110,D
384,365,164,T
385,366,110,D
386,366,164,T
387,367,110,D
388,367,164,T
389,368,110,D
390,368,164,T
391,369,110,D
392,369,164,T
393,370,110,D
394,370,164,T
395,371,108,D
396,371,182,T
397,372,108,D
398,372,182,T
399,373,108,D
400,373,182,T
401,374,108,D
402,374,182,T
403,375,108,D
404,375,182,T
405,376,108,D
406,376,182,T
407,377,108,D
408,377,182,T
409,378,108,D
410,378,182,T
411,379,111,D
412,379,187,T
413,380,111,D
414,380,187,T
415,381,111,D
416,381,187,T
417,382,111,D
418,382,187,T
419,383,111,D
420,383,187,T
421,384,174,A
422,385,174,A
423,386,174,A
424,387,174,A
425,388,174,A
426,389,174,A
427,390,174,A
428,391,174,A
429,392,72,A
430,393,72,A
431,394,72,A
432,395,72,A
433,396,72,A
434,397,72,A
435,398,72,A
436,399,72,A
437,400,140,A
438,401,140,A
439,402,165,A
440,403,165,A
441,404,140,A
442,405,117,A
443,406,117,A
444,407,117,A
445,408,166,D
446,408,233,T
447,409,166,D
448,409,233,T
449,410,166,D
450,410,233,T
451,411,166,D
452,411,233,T
453,412,166,D
454,412,233,T
455,413,166,D
456,413,233,T
457,414,166,D
458,414,233,T
459,415,166,D
460,415,233,T
461,416,166,D
462,416,233,T
463,417,166,D
464,417,233,T
465,418,166,D
466,418,233,T
467,419,166,D
468,419,233,T
469,420,166,D
470,420,233,T
471,421,166,D
472,421,233,T
473,422,188,D
474,422,253,T
475,423,188,D
476,423,253,T
477,424,175,A
478,425,175,A
479,426,175,A
480,427,175,A
481,428,175,A
482,429,175,A
483,430,175,A
484,431,175,A
485,432,175,A
486,433,175,A
487,434,151,A
488,435,151,A
489,436,151,A
490,437,151,A
491,438,151,A
492,439,151,A
493,440,174,A
494,441,174,A
495,442,174,A
496,443,174,A
497,444,174,A
498,445,174,A
499,446,174,A
500,447,171,D
501,447,238,T
502,448,143,A
503,449,143,A
504,450,143,A
505,451,143,A
506,452,9,A
507,453,9,A
508,454,9,A
509,455,114,A
510,456,114,A
511,457,114,A
512,458,114,A
513,459,114,A
514,460,114,A
515,461,114,A
516,462,114,A
517,463,114,A
518,464,114,A
519,465,114,A
520,466,112,A
521,467,112,A
522,468,147,A
523,469,147,A
524,470,147,A
525,471,147,A
526,472,147,A
527,473,147,A
528,474,147,A
529,475,147,A
530,476,123,A
531,477,123,A
532,478,123,A
533,479,123,A
534,480,123,A
535,481,174,A
536,482,174,A
537,483,174,A
538,484,174,A
539,485,174,A
540,486,154,A
541,487,154,A
542,488,154,A
543,489,154,A
544,490,154,A
545,491,154,A
546,492,154,A
547,493,154,A
548,494,154,A
549,495,197,A
550,496,197,A
551,497,239,D
552,497,281,T
553,498,239,D
554,498,281,T
555,499,239,D
556,499,281,T
557,500,194,A
558,501,194,A
559,502,194,A
560,503,194,A
561,504,194,A
562,505,194,A
563,506,194,A
564,507,194,A
565,508,194,A
566,509,194,A
567,510,194,A
568,511,194,A
569,512,194,A
570,513,194,A
571,514,194,A
572,515,194,A
573,516,194,A
574,517,113,A
575,518,113,A
576,519,113,A
577,520,113,A
578,521,113,A
579,522,113,A
580,523,113,A
581,524,113,A
582,525,113,A
583,526,108,D
584,526,182,T
585,527,108,D
586,527,182,T
587,528,108,D
588,528,182,T
589,529,108,D
590,529,182,T
591,530,108,D
592,530,182,T
593,531,108,D
594,531,182,T
595,532,110,A
596,533,110,A
597,534,110,A
598,535,110,A
599,536,110,A
600,537,110,A
601,538,110,A
602,539,110,A
603,540,170,D
604,540,237,T
605,541,170,D
606,541,237,T
607,542,170,D
608,542,237,T
609,543,170,D
610,543,237,T
611,544,41,A
612,545,41,A
613,546,23,A
614,547,23,A
615,548,23,A
616,549,23,A
617,550,36,A
618,551,36,A
619,552,36,A
620,553,36,A
621,554,36,A
622,555,36,A
623,556,36,A
624,557,5,A
625,558,5,A
626,559,5,A
627,560,5,A
628,561,5,A
629,562,5,A
630,563,5,A
631,564,5,A
632,565,70,A
633,566,70,A
634,567,70,A
635,568,70,A
636,569,70,A
637,570,151,A
638,571,151,A
639,572,151,A
640,573,151,A
641,574,151,A
642,575,151,A
643,576,151,A
644,577,151,A
645,578,36,A
646,579,36,A
647,580,36,A
648,581,36,A
649,582,36,A
650,583,38,A
651,584,38,A
652,585,38,A
653,586,38,A
654,587,52,A
655,588,52,A
656,589,52,A
657,590,70,A
658,591,70,A
659,592,70,A
660,593,37,A
661,594,37,A
662,595,70,A
663,596,70,A
664,597,70,A
665,598,70,A
666,599,70,A
667,600,52,A
668,601,52,A
669,602,52,A
670,603,70,A
671,604,70,A
672,605,227,A
673,606,227,A
674,607,227,A
675,608,227,A
676,609,227,A
677,610,227,A
678,611,227,A
679,612,227,A
680,613,227,A
681,614,35,A
682,615,35,A
683,616,35,A
684,617,35,A
685,618,35,A
686,619,35,A
687,620,35,A
688,621,157,A
689,622,157,A
690,623,157,A
691,624,157,A
692,625,157,A
693,626,157,A
694,627,157,A
695,628,156,A
696,629,156,A
697,630,131,A
698,631,131,A
699,632,156,A
700,633,156,A
701,634,156,A
702,635,156,A
703,636,69,A
704,637,69,A
705,638,172,D
706,638,239,T
707,639,172,D
708,639,239,T
709,640,172,D
710,640,239,T
711,641,172,D
712,641,239,T
713,642,172,D
714,642,239,T
715,643,167,D
716,643,234,T
717,644,167,D
718,644,234,T
719,645,167,D
720,645,234,T
721,646,152,A
722,647,152,A
723,648,152,A
724,649,152,A
725,650,152,A
726,651,152,A
727,652,152,A
728,653,152,A
729,654,152,A
730,655,148,A
731,656,148,A
732,657,148,A
733,658,148,A
734,659,17,A
735,660,17,A
736,661,17,A
737,662,25,A
738,663,17,A
739,664,54,A
740,665,54,A
741,666,54,A
742,667,54,A
743,668,54,A
744,669,54,A
745,670,54,A
746,678,19,A
747,679,19,A
748,680,19,A
749,681,19,A
750,682,19,A
751,683,19,A
752,684,19,A
753,678,17,A
754,679,17,A
755,680,17,A
756,681,17,A
757,682,17,A
758,683,17,A
759,684,17,A
760,685,17,A
761,686,17,A
762,687,25,A
763,688,25,A
764,689,25,A
765,690,25,A
766,691,25,A
767,698,17,A
768,699,17,A
769,700,17,A
770,695,17,A
771,696,17,A
772,697,17,A
773,698,17,A
774,699,17,A
775,700,17,A
776,701,17,A
777,702,17,A
778,703,17,A
779,704,17,A
780,705,17,A
781,706,232,D
782,706,285,T
783,707,232,D
784,707,285,T
785,708,232,D
786,708,285,T
787,709,232,D
788,709,285,T
789,710,232,D
790,710,285,T
791,711,232,D
792,711,285,T
793,712,232,D
794,712,285,T
795,713,232,D
796,713,285,T
797,714,232,D
798,714,285,T
799,715,232,D
800,715,285,T
801,716,232,D
802,716,285,T
803,717,232,D
804,717,285,T
805,718,232,D
806,718,285,T
807,719,73,A
808,720,73,A
809,721,73,A
810,722,73,A
811,723,73,A
812,724,73,A
813,725,73,A
814,726,87,A
815,727,87,A
816,728,87,A
817,729,105,A
818,730,105,A
819,731,105,A
820,732,126,A
821,733,179,A
822,734,179,A
823,735,179,A
824,736,179,A
825,737,27,A
826,738,27,A
827,739,27,A
828,740,27,A
829,741,27,A
830,742,27,A
831,743,41,A
832,744,41,A
833,745,41,A
834,746,41,A
835,747,41,A
836,748,101,A
837,749,28,A
838,750,28,A
839,751,28,A
840,752,28,A
841,753,28,A
842,754,28,A
843,755,28,A
844,756,28,A
845,757,28,A
846,758,28,A
847,759,28,A
848,760,28,A
849,761,28,A
850,762,28,A
851,763,36,A
852,764,36,A
853,765,36,A
854,766,36,A
855,767,36,A
856,768,36,A
857,769,54,A
858,770,54,A
859,771,72,A
860,772,72,A
861,773,38,A
862,774,38,A
863,775,38,A
864,776,38,A
865,777,38,A
866,778,38,A
867,779,38,A
868,780,25,A
869,781,25,A
870,782,25,A
871,783,38,A
872,784,38,A
873,785,38,A
874,786,38,A
875,787,38,A
876,788,38,A
877,789,131,A
878,790,131,A
879,791,131,A
880,792,131,A
881,793,131,A
882,794,131,A
883,795,131,A
884,796,131,A
885,797,131,A
886,798,131,A
887,799,131,A
888,800,131,A
889,801,131,A
890,802,131,A
891,803,131,A
892,804,131,A
893,805,131,A
894,806,156,A
895,807,178,A
896,808,178,A
897,809,178,A
898,810,178,A
899,811,178,A
900,812,178,A
901,813,206,A
902,814,206,A
903,815,206,A
904,816,206,A
905,817,206,A
906,818,206,A
907,819,70,A
908,820,70,A
909,821,70,A
910,822,70,A
911,823,70,A
912,824,70,A
913,825,5,A
914,826,5,A
915,827,5,A
916,828,5,A
917,829,5,A
918,830,5,A
919,831,5,A
920,832,5,A
921,833,5,A
922,834,8,A
923,835,54,A
924,836,54,A
925,837,54,A
926,838,54,A
927,839,54,A
928,840,54,A
929,841,54,A
930,842,54,A
931,843,54,A
932,844,54,A
933,845,54,A
934,846,54,A
935,847,36,A
936,848,36,A
937,849,36,A
938,850,36,A
939,851,77,A
940,852,77,A
941,853,77,A
942,854,151,A
943,855,151,A
944,856,151,A
945,857,151,A
946,858,151,A
947,859,151,A
948,860,151,A
949,861,77,A
950,862,77,A
951,863,77,A
952,864,77,A
953,865,178,A
954,866,178,A
955,867,178,A
956,868,178,A
957,869,222,A
958,870,222,A
959,871,222,A
960,872,222,A
961,873,70,A
962,874,70,A
963,875,70,A
964,876,70,A
965,877,70,A
966,878,70,A
967,879,70,A
968,880,70,A
969,881,70,A
970,882,70,A
971,883,54,A
972,884,54,A
973,885,97,A
974,886,97,A
975,887,97,A
976,888,124,A
977,889,124,A
978,890,124,A
979,891,172,A
980,892,172,A
981,893,172,A
982,894,172,A
983,895,172,A
984,896,172,A
985,897,172,A
986,898,124,A
987,899,124,A
988,900,122,A
989,901,122,A
990,902,122,A
991,903,118,A
992,904,118,A
993,905,95,A
994,906,95,A
995,907,95,A
996,908,95,A
997,909,95,A
998,910,95,A
999,911,96,A
1000,912,96,A
1001,913,96,A
1002,914,96,A
1003,915,96,A
1004,916,96,A
1005,917,96,A
1006,918,108,D
1007,918,183,T
1008,919,108,D
1009,919,183,T
1010,920,108,D
1011,920,183,T
1012,921,95,A
1013,922,95,A
1014,923,95,A
1015,924,95,A
1016,925,95,A
1017,926,95,A
1018,927,95,A
1019,928,96,A
1020,929,96,A
1021,930,96,A
1022,931,96,A
1023,932,96,A
1024,933,37,A
1025,934,37,A
1026,935,37,A
1027,936,37,A
1028,937,36,A
1029,938,36,A
1030,939,36,A
1031,940,36,A
1032,941,68,A
1033,942,68,A
1034,943,68,A
1035,944,68,A
1036,945,68,A
1037,946,68,A
1038,947,70,A
1039,948,70,A
1040,949,70,A
1041,950,70,A
1042,951,70,A
1043,952,54,A
1044,953,73,A
1045,954,73,A
1046,955,73,A
1047,956,73,A
1048,957,73,A
1049,958,73,A
1050,959,73,A
1051,960,73,A
1052,961,89,A
1053,962,89,A
1054,963,89,A
1055,964,89,A
1056,965,54,A
1057,966,54,A
1058,967,126,A
1059,968,126,A
1060,969,126,A
1061,970,126,A
1062,971,126,A
1063,972,126,A
1064,973,126,A
1065,974,126,A
1066,975,126,A
1067,976,126,A
1068,977,126,A
1069,978,236,D
1070,978,291,T
1071,979,7,A
1072,980,73,A
1073,981,73,A
1074,982,73,A
1075,983,73,A
1076,984,73,A
1077,985,73,A
1078,986,73,A
1079,987,73,A
1080,988,73,A
1081,989,73,A
1082,990,25,A
1083,991,25,A
1084,992,25,A
1085,993,25,A
1086,994,25,A
1087,995,25,A
1088,996,25,A
1089,997,25,A
1090,998,25,A
1091,999,25,A
1092,1000,25,A
1093,1001,25,A
1094,1002,25,A
1095,1003,25,A
1096,1004,25,A
1097,1005,25,A
1098,1006,25,A
1099,1007,25,A
1100,1008,25,A
1101,1009,25,A
1102,1010,25,A
1103,1011,25,A
1104,1012,36,A
1105,1013,36,A
1106,1014,36,A
1107,1015,36,A
1108,1016,36,A
1109,1017,36,A
1110,1018,36,A
1111,1019,36,A
1112,1020,36,A
1113,1021,36,A
1114,1022,36,A
1115,1023,52,A
1116,1024,52,A
1117,1025,52,A
1118,1026,52,A
1119,1027,52,A
1120,1028,52,A
1121,1029,49,A
1122,1030,49,A
1123,1031,49,A
1124,1032,49,A
1125,1033,49,A
1126,1034,54,A
1127,1035,54,A
1128,1036,68,A
1129,1037,68,A
1130,1038,54,A
1131,1039,54,A
1132,1040,54,A
1133,1041,54,A
1134,1042,54,A
1135,1043,119,A
1136,1044,119,A
1137,1045,119,A
1138,1046,119,A
1139,1047,119,A
1140,1048,68,A
1141,1049,68,A
1142,1050,68,A
1143,1051,89,A
1144,1052,89,A
1145,1053,89,A
1146,1054,89,A
1147,1055,89,A
1148,1056,89,A
1149,1057,89,A
1150,1058,89,A
1151,1059,89,A
1152,1060,89,A
1153,1061,110,A
1154,1062,110,A
1155,1063,110,A
1156,1064,110,A
1157,1065,89,A
1158,1066,89,A
1159,1067,54,A
1160,1068,74,A
1161,1069,74,A
1162,1070,89,A
1163,1071,89,A
1164,1072,89,A
1165,1073,89,A
1166,1074,89,A
1167,1075,166,A
1168,1076,166,A
1169,1077,166,A
1170,1078,166,A
1171,1079,118,A
1172,1080,118,A
1173,1081,170,A
1174,1082,170,A
1175,1083,170,A
1176,1084,118,A
1177,1085,118,A
1178,1086,118,A
1179,1087,25,A
1180,1088,11,A
1181,1089,11,A
1182,1090,11,A
1183,1091,11,A
1184,1092,11,A
1185,1093,11,A
1186,1094,11,A
1187,1095,49,A
1188,1096,49,A
1189,1097,49,A
1190,1098,49,A
1191,1099,65,A
1192,1100,65,A
1193,1101,65,A
1194,1102,65,A
1195,1103,111,A
1196,1104,111,A
1197,1105,74,A
1198,1106,74,A
1199,1107,57,A
1200,1108,57,A
1201,1109,79,A
1202,1110,79,A
1203,1111,79,A
1204,1112,79,A
1205,1113,79,A
1206,1114,79,A
1207,1115,79,A
1208,1116,79,A
1209,1117,79,A
1210,1118,79,A
1211,1119,78,A
1212,1120,78,A
1213,1121,78,A
1214,1122,78,A
1215,1123,76,A
1216,1124,78,A
1217,1125,78,A
1218,1126,78,A
1219,1127,96,A
1220,1128,96,A
1221,1129,7,A
1222,1130,7,A
1223,1131,7,A
1224,1132,7,A
1225,1133,7,A
1226,1134,7,A
1227,1135,7,A
1228,1136,7,A
1229,1137,7,A
1230,1138,96,A
1231,1139,96,A
1232,1140,38,A
1233,1141,38,A
1234,1142,38,A
1235,1143,38,A
1236,1144,72,A
1237,1145,72,A
1238,1146,74,A
1239,1147,74,A
1240,1148,74,A
1241,1149,74,A
1242,1150,74,A
1243,1151,48,A
1244,1152,48,A
1245,1153,48,A
1246,1154,48,A
1247,1155,48,A
1248,1156,48,A
1249,1157,48,A
1250,1158,48,A
1251,1159,38,A
1252,1160,38,A
1253,1161,38,A
1254,1162,38,A
1255,1163,38,A
1256,1164,38,A
